,id,loan_complete_rate,censor_status,predicted_loan_complete_rate,predicted_severity_rate,combined_score,combined_score_normalized,good or bad
0,571203,0.3158,0,0.7915017344455816,0.9499999999999997,0.7519266477233023,0.9033049475065933,good
1,694891,0.0277,0,0.8042813214650486,0.9209999999999999,0.7407430970693097,0.8855253843516464,good
4,974654,0.3605,0,0.7857958714015297,0.7115000000000002,0.5590937625021886,0.5967400141313913,bad
6,1042871,0.6924,0,0.8074324453380093,0.9129999999999999,0.7371858225936024,0.8798700439184415,good
7,1055193,0.6937,0,0.7967251572494499,0.9229999999999998,0.7353773201412421,0.876994894105789,good
8,1059509,0.431,0,0.7765986339974346,0.9855000000000002,0.7653379538044719,0.9246261871412842,good
10,1065549,0.7207,0,0.8025003429995733,0.9885,0.7932715890550782,0.9690349663788604,good
11,1068335,0.7214,0,0.7980396130929548,0.9515,0.7593346918579464,0.9150822258166369,good
12,1070084,0.7219,0,0.8049921702143414,0.9625,0.7748049638313037,0.9396768010176993,good
15,1073807,0.3056,0,0.805609648728741,0.971,0.7822469689156074,0.9515080703068117,good
16,1074374,0.7203,0,0.796913050769714,0.9745,0.7765917679750863,0.9425174549479931,good
17,1075164,0.7219,0,0.8013935679429548,0.9475,0.7593204056259497,0.9150595136233549,good
18,1076079,0.7214,0,0.8006080397305805,0.8775,0.7025335548635844,0.8247800102046822,good
21,1078123,0.4329,0,0.7770391193670108,0.8980000000000001,0.6977811291915758,0.8172246232807179,good
23,1079344,0.6939,0,0.8167926444492448,0.9644999999999997,0.7877965055712963,0.9603307010171478,good
24,1080086,0.6926,0,0.7999806141511898,0.9085,0.726782387956356,0.8633307060208435,good
25,1080703,0.4145,0,0.7881584291751751,0.8684999999999998,0.6845155957386394,0.7961351323750419,good
33,641849,0.25,0,0.7842847232023276,0.9445000000000001,0.7407569210645985,0.8855473616828977,good
35,807342,0.3056,0,0.8100015265812797,0.9209999999999999,0.7460114059813585,0.8939009203437065,good
36,880114,0.1389,0,0.8029001085701878,0.9435000000000002,0.7575362524359723,0.9122230741685939,good
38,1034319,0.3611,0,0.7976521327910683,0.9225,0.7358340924997605,0.8777210689358563,good
39,1050240,0.7194,0,0.8129375201391857,0.9884999999999999,0.8035887386575851,0.9854371286806264,good
40,1058291,0.4307,0,0.7869035224020309,0.9164999999999999,0.7211970782814612,0.8544512035106746,good
42,1064860,0.7213,0,0.8014827095035185,0.7774999999999999,0.6231528066389855,0.6985808208763502,bad
44,1069148,0.8035,0,0.7981011578459225,0.8029999999999998,0.6408752297502757,0.7267558567584815,bad
